time,CPI,PPI,Import and export amount,M0,M1,M2,exchange rate,Demand deposit interest rate,Fixed deposit rate,Public revenue,Public expenditure
2010/3/31,2.4,5.91,"2,315.26","39,080.58","229,397.93","649,947.46",6.8263,0.36,2.25,"6,023.44","5,923.95"
2010/4/30,2.8,6.81,"2,382.92","39,657.54","233,909.76","656,561.22",6.8263,0.36,2.25,"7,925.66","5,575.55"
2010/5/31,3.1,7.13,"2,438.73","38,652.97","236,497.88","663,351.37",6.828,0.36,2.25,"7,917.66","5,786.70"
2010/6/30,2.9,6.41,"2,544.93","38,904.85","240,580.00","673,921.72",6.7909,0.36,2.25,"7,879.40","8,119.15"
2010/7/31,3.3,4.84,"2,623.24","39,543.16","240,664.07","674,051.48",0,0.36,2.25,"7,783.18","5,810.87"
2010/8/31,3.5,4.32,"2,587.15","39,922.76","244,340.64","687,506.92",6.8105,0.36,2.25,"5,619.35","6,413.69"
2010/9/30,3.6,4.33,"2,732.82","41,854.41","243,821.90","696,471.50",6.7011,0.36,2.25,"6,287.19","8,469.04"
2010/10/31,4.4,5.04,"2,450.28","41,646.21","253,313.17","699,776.74",0,0.36,2.5,"7,860.31","6,488.30"
2010/11/30,5.1,6.06,"2,842.64","42,252.16","259,420.32","710,339.03",6.6762,0.36,2.5,"5,840.69","10,599.64"
2011/1/31,4.9,6.6,"2,956.12","58,063.94","261,765.01","733,884.83",6.5891,0.36,2.75,"11,497.38","6,408.97"
2011/2/28,4.94,7.23,"2,012.35","47,270.24","259,200.50","736,130.86",6.5752,0.4,3,"6,997.01","4,074.80"
2011/3/31,5.38,7.31,"3,044.57","44,845.22","266,255.48","758,130.88",6.5564,0.4,3,"7,631.35","7,570.00"
2011/4/30,5.34,6.82,"2,999.62","45,489.03","266,766.91","757,384.56",0,0.5,3.25,"10,082.06","7,304.45"
2011/5/31,5.52,6.79,"3,011.73","44,602.83","269,289.63","763,409.22",6.4845,0.5,3.25,"10,612.26","8,268.00"
2011/6/30,6.36,7.12,"3,015.97","44,477.80","274,662.57","780,820.85",6.4716,0.5,3.25,"10,055.76","10,809.12"
2011/7/31,6.45,7.54,"3,201.66","45,183.10","270,545.65","772,923.65",0,0.5,3.5,"9,864.10","6,949.92"
2011/8/31,6.15,7.25,"3,286.23","45,775.29","273,393.77","780,852.30",6.3867,0.5,3.5,"7,546.37","8,076.96"
2011/9/30,6.07,6.52,"3,245.73","47,145.29","267,193.16","787,406.20",6.3549,0.5,3.5,"7,377.05","10,018.55"
2011/10/31,5.5,5,"2,975.71","46,579.39","276,552.67","816,829.25",6.3233,0.5,3.5,"9,188.34","8,079.03"
2011/11/30,4.23,2.72,"3,341.08","47,317.26","281,416.37","825,493.94",6.3482,0.5,3.5,"6,457.32","11,396.18"
2011/12/31,4.07,1.69,"3,327.87","50,748.46","289,847.70","851,590.90",0,0.5,3.5,"6,431.00","19,974.22"
2012/1/31,4.5,0.73,"2,727.09","59,820.72","270,010.40","855,898.89",6.3115,0.5,3.5,"12,912.58","7,026.80"
2012/2/29,3.2,0.03,"2,608.20","51,448.78","270,312.11","867,171.42",6.2919,0.5,3.5,"8,005.70","6,897.34"
2012/3/31,3.6,-0.32,"3,259.72","49,595.74","277,998.11","895,565.50",0,0.5,3.5,"9,057.97","10,193.91"
2012/4/30,3.4,-0.7,"3,077.02","50,199.32","274,983.82","889,604.04",0,0.5,3.5,"10,774.00","7,885.00"
2012/5/31,3,-1.4,"3,438.82","49,039.72","278,656.31","900,048.77",6.3355,0.5,3.5,"12,005.00","9,165.00"
2012/7/31,1.8,-2.87,"3,285.35","49,705.85","283,090.68","919,072.40",6.332,0.35,3,"10,672.00","9,528.00"
2012/8/31,2,-3.48,"3,293.21","50,235.06","285,739.27","924,894.59",6.3449,0.35,3,"7,863.00","9,020.00"
2012/9/30,1.9,-3.55,"3,447.67","53,433.49","286,788.21","943,688.75",0,0.35,3,"8,258.00","11,679.00"
2012/10/31,1.7,-2.76,"3,189.62","51,467.71","293,309.78","936,404.28",6.3002,0.35,3,"10,444.00","8,617.00"
2012/11/30,2,-2.2,"3,392.01","52,392.12","296,883.05","944,832.35",6.2892,0.35,3,"7,871.00","12,160.00"
2012/12/31,2.5,-1.94,"3,672.34","54,659.77","308,664.23","974,148.80",6.2855,0.35,3,"8,306.70","20,816.38"
2013/1/31,2.03,-1.64,"3,464.86","62,449.63","311,228.55","992,129.25",6.2795,0.35,3,"13,655.86","8,367.26"
2013/2/28,3.22,-1.63,"2,637.26","60,313.65","296,103.24","998,600.83",6.2779,0.35,3,"8,770.14","7,737.74"
2013/3/31,2.07,-1.92,"3,651.10","55,460.52","310,898.29","1,035,858.37",0,0.35,3,"9,608.00","10,932.00"
2013/4/30,2.39,-2.62,"3,555.00","55,607.15","307,648.42","1,032,551.90",0,0.35,3,"11,430.81","9,307.95"
2013/5/31,2.1,-2.87,"3,447.00","54,431.39","310,204.48","1,042,169.16",6.1796,0.35,3,"12,748.85","10,265.61"
2013/6/30,2.67,-2.7,"3,212.03","54,063.91","313,499.82","1,054,403.69",0,0.35,3,"12,376.97","13,103.69"
2013/7/31,2.67,-2.27,"3,540.72","54,412.78","310,596.46","1,052,212.34",6.1788,0.35,3,"11,848.61","9,354.51"
2013/8/31,2.57,-1.62,"3,528.52","54,925.35","314,085.91","1,061,256.43",0,0.35,3,"8,588.17","9,607.61"
2013/9/30,3.05,-1.34,"3,558.73","56,492.53","312,330.34","1,077,379.16",6.148,0.35,3,"9,361.73","12,856.22"
2013/10/31,3.21,-1.51,"3,395.53","55,595.72","319,509.38","1,070,242.17",6.1425,0.35,3,"12,136.41","10,507.35"
2013/11/30,3.02,-1.42,"3,704.13","56,441.27","324,821.92","1,079,257.06",0,0.35,3,"9,124.96","12,657.53"
2013/12/31,2.5,-1.36,"3,895.06","58,574.44","337,291.05","1,106,524.98",6.0969,0.35,3,"9,492.60","25,046.79"
2014/1/31,2.49,-1.64,"3,820.51","76,488.60","314,900.55","1,123,521.21",0,0.35,3,"15,434.54","10,153.31"
2014/2/28,1.95,-2,"2,506.74","62,320.95","316,625.11","1,131,760.83",6.1214,0.35,3,"9,487.98","6,913.39"
2014/3/31,2.38,-2.3,"3,320.19","58,329.30","327,683.74","1,160,687.38",6.1521,0.35,3,"10,103.21","13,365.77"
2014/4/30,1.8,-2,"3,582.36","58,615.54","324,482.52","1,168,812.67",6.158,0.35,3,"12,481.26","9,409.81"
2014/5/31,2.48,-1.45,"3,549.53","58,051.11","327,839.56","1,182,293.96",0,0.35,3,"13,669.98","12,789.84"
2014/6/30,2.34,-1.11,"3,416.19","56,951.05","341,487.45","1,209,587.20",6.1528,0.35,3,"13,461.10","16,521.98"
2014/7/31,2.29,-0.87,"3,781.35","57,346.50","331,347.32","1,194,249.24",6.1675,0.35,3,"12,661.58","10,256.20"
2014/8/31,1.99,-1.2,"3,667.83","57,997.61","332,023.23","1,197,499.08",0,0.35,3,"9,109.16","10,203.69"
2014/9/30,1.63,-1.8,"3,959.10","58,844.99","327,220.21","1,202,051.41",6.1525,0.35,3,"9,953.01","14,025.53"
2014/10/31,1.6,-2.24,"3,678.43","57,691.64","329,617.73","1,199,236.31",6.1461,0.35,3,"13,280.20","9,909.78"
2014/11/30,1.44,-2.69,"3,683.62","58,438.53","335,114.13","1,208,605.95",0,0.35,2.75,"9,952.91","12,758.58"
2014/12/31,1.51,-3.32,"4,049.43","60,259.53","348,056.41","1,228,374.81",6.119,0.35,2.75,"10,755.12","25,354.13"
2015/1/31,0.76,-4.32,"3,404.38","63,040.51","348,106.28","1,242,709.56",0,0.35,2.75,"16,203.42","8,136.78"
2015/2/28,1.43,-4.8,"2,774.31","72,896.19","334,439.22","1,257,384.48",0,0.35,2.75,"9,513.08","10,728.38"
2015/3/31,1.38,-4.56,"2,859.54","61,949.81","337,210.52","1,275,332.78",6.1422,0.35,2.5,"10,690.62","13,950.11"
2015/4/30,1.51,-4.57,"3,186.03","60,772.46","336,388.24","1,280,779.14",6.1137,0.35,2.5,"13,502.09","12,534.50"
2015/5/31,1.23,-4.61,"3,204.46","59,075.97","343,085.86","1,307,357.63",0,0.35,2.25,"14,355.49","13,124.15"
2015/6/30,1.39,-4.81,"3,338.91","58,604.26","356,082.86","1,333,375.36",6.1136,0.35,2,"15,335.24","18,814.02"
2015/7/31,1.65,-5.37,"3,444.53","59,010.71","353,122.19","1,353,210.92",6.1172,0.35,2,"14,249.36","12,732.37"
2015/8/31,1.96,-5.92,"3,326.35","59,061.79","362,793.73","1,356,907.98",6.3893,0.35,1.75,"9,671.33","12,843.51"
2015/9/30,1.6,-5.95,"3,502.40","61,022.97","364,416.90","1,359,824.06",6.3613,0.35,1.75,"10,891.86","17,798.71"
2015/10/31,1.27,-5.9,"3,230.92","59,900.48","375,806.45","1,361,020.70",0,0.35,1.5,"14,435.08","13,491.42"
2015/11/30,1.49,-5.9,"3,392.09","60,328.24","387,618.32","1,373,956.01",6.3962,0.35,1.5,"11,087.38","16,069.43"
2015/12/31,1.6,-5.9,"3,866.42","63,216.58","400,953.44","1,392,278.11",6.4936,0.35,1.5,"12,282.05","25,544.62"
2016/1/31,1.8,-5.3,"2,819.46","72,526.51","412,685.64","1,416,319.55",0,0.35,1.5,"17,166.33","10,134.12"
2016/2/29,2.3,-4.9,"2,152.65","69,421.50","392,504.70","1,424,618.68",6.5452,0.35,1.5,"10,218.51","11,036.15"
2016/3/31,2.3,-4.3,"2,852.86","64,651.21","411,581.31","1,446,198.03",6.4612,0.35,1.5,"11,511.20","16,788.04"
2016/4/30,2.33,-3.4,"2,935.18","64,403.17","413,504.84","1,445,209.59",0,0.35,1.5,"15,522.92","13,109.32"
2016/5/31,2.04,-2.8,"3,065.78","62,780.71","424,250.70","1,461,695.11",6.579,0.35,1.5,"15,460.81","15,460.51"
2016/6/30,1.88,-2.6,"3,078.67","62,818.89","443,643.70","1,490,491.83",6.6312,0.35,1.5,"15,634.07","22,636.87"
2016/7/31,1.77,-1.7,"3,129.71","63,276.01","442,934.43","1,491,558.72",0,0.35,1.5,"14,770.16","12,768.27"
2016/8/31,1.34,-0.8,"3,275.65","63,454.70","454,543.60","1,510,982.91",6.6908,0.35,1.5,"9,894.05","14,186.78"
2016/9/30,1.92,0.1,"3,264.50","65,068.62","454,340.25","1,516,360.50",6.6778,0.35,1.5,"11,221.90","19,836.20"
2016/10/31,2.1,1.2,"3,055.08","64,214.93","465,446.65","1,519,485.40",6.7641,0.35,1.5,"15,359.18","11,818.54"
2016/11/30,2.25,3.3,"3,440.38","64,903.50","475,405.54","1,530,432.06",6.8865,0.35,1.5,"11,491.12","18,063.87"
2016/12/31,2.08,5.5,"3,785.67","68,303.87","486,557.24","1,550,066.67",0,0.35,1.5,"11,301.75","22,002.36"
2017/1/31,2.55,6.9,"3,118.69","86,598.61","472,526.45","1,584,194.56",0,0.35,1.5,"20,208.09","13,935.36"
2017/2/28,0.8,7.8,"2,486.34","71,727.69","476,527.60","1,589,857.00",6.875,0.35,1.5,"11,245.40","10,924.30"
2017/3/31,0.9,7.6,"3,357.89","68,605.05","488,770.09","1,607,938.98",6.8993,0.35,1.5,"12,912.48","21,057.48"
2017/4/30,1.2,6.4,"3,190.15","68,392.60","490,180.42","1,603,918.84",0,0.35,1.5,"16,784.20","13,635.52"
2017/5/31,1.5,5.5,"3,382.54","67,333.21","496,389.78","1,609,740.77",6.8633,0.35,1.5,"16,073.40","16,914.75"
2017/6/30,1.5,5.5,"3,482.92","66,977.68","510,228.17","1,639,497.05",6.7744,0.35,1.5,"17,082.37","27,015.91"
2017/7/31,1.4,5.5,"3,393.88","67,129.04","510,484.58","1,636,341.11",6.7283,0.35,1.5,"16,456.51","13,496.04"
2017/8/31,1.8,6.3,"3,560.39","67,550.99","518,113.93","1,652,947.30",6.601,0.35,1.5,"10,652.48","14,647.28"
2017/9/30,1.6,6.9,"3,685.11","69,748.54","517,863.04","1,663,666.05",0,0.35,1.5,"12,713.96","20,246.40"
2017/10/31,1.9,6.9,"3,389.07","68,230.69","525,977.19","1,662,449.96",6.6397,0.35,1.5,"16,233.70","11,121.79"
2017/11/30,1.7,5.8,"3,932.44","68,623.16","535,565.05","1,679,156.64",6.6034,0.35,1.5,"11,385.29","16,565.58"
2017/12/31,1.8,4.9,"4,091.95","70,645.60","543,790.15","1,690,235.32",0,0.35,1.5,"10,819.14","23,769.57"
2018/1/31,1.5,4.3,"3,806.20","74,636.29","543,247.13","1,720,814.46",6.3339,0.35,1.5,"23,621.08","12,927.57"
2018/2/28,2.9,3.7,"3,088.93","81,424.24","517,035.99","1,729,070.12",6.3294,0.35,1.5,"12,932.33","16,134.27"
2018/3/31,2.1,3.1,"3,535.95","72,692.63","523,540.07","1,739,859.48",0,0.35,1.5,"13,993.00","21,935.15"
2018/4/30,1.8,3.4,"3,716.55","71,476.46","525,447.77","1,737,683.73",0,0.35,1.5,"18,472.93","14,695.56"
2018/5/31,1.8,4.1,"3,997.69","69,774.81","526,276.72","1,743,063.79",6.4144,0.35,1.5,"17,631.12","17,002.67"
2018/6/30,1.9,4.7,"3,902.87","69,589.33","543,944.71","1,770,178.37",0,0.35,1.5,"17,680.22","28,896.89"
2018/7/31,2.1,4.6,"4,013.17","69,530.59","536,624.29","1,776,196.11",6.8165,0.35,1.5,"17,460.67","13,944.39"
2018/8/31,2.3,4.1,"4,076.01","69,775.39","538,324.64","1,788,670.43",6.8246,0.35,1.5,"11,076.85","15,136.95"
2018/9/30,2.5,3.6,"4,205.32","71,254.26","538,574.08","1,801,665.58",0,0.35,1.5,"12,963.12","22,616.00"
2018/10/31,2.5,3.3,"3,965.45","70,106.62","540,128.37","1,795,561.60",6.9646,0.35,1.5,"15,726.61","12,030.80"
2018/11/30,2.2,2.7,"4,067.29","70,563.30","543,498.66","1,813,175.07",6.9357,0.35,1.5,"10,774.75","16,430.57"
2018/12/31,1.9,0.9,"3,849.00","73,208.40","551,685.91","1,826,744.22",0,0.35,1.5,"11,019.32","29,155.13"
2019/3/31,2.3,0.4,"3,650.04","74,941.58","547,575.54","1,889,412.14",0,0.35,1.5,"14,552.00","25,315.00"
2019/4/30,2.5,0.9,"3,740.20","73,965.76","540,614.60","1,884,670.33",6.7286,0.35,1.5,"18,995.00","17,038.00"
2019/5/31,2.7,0.6,"3,866.08","72,798.46","544,355.64","1,891,153.70",6.8992,0.35,1.5,"17,268.00","17,356.00"
2019/6/30,2.7,0,"3,752.05","72,580.96","567,696.18","1,921,360.19",0,0.35,1.5,"17,927.00","30,515.00"
2019/7/31,2.8,-0.3,"3,995.00","72,689.25","553,043.11","1,919,410.82",6.8841,0.35,1.5,"17,777.00","14,425.00"
2019/8/31,2.8,-0.8,"3,950.65","73,152.62","556,798.09","1,935,492.43",0,0.35,1.5,"11,438.00","15,106.00"
2019/9/30,3,-1.2,"3,973.35","74,129.75","557,137.95","1,952,250.49",7.0729,0.35,1.5,"13,617.00","25,543.00"
2019/10/31,3.8,-1.6,"3,836.00","73,395.40","558,143.92","1,945,600.55",7.0533,0.35,1.5,"17,026.00","11,975.00"
2019/11/30,4.5,-1.4,"4,055.51","73,973.82","562,486.52","1,961,429.56",0,0.35,1.5,"11,263.00","15,876.00"
2019/12/31,4.5,-0.5,"4,300.13","77,189.47","576,009.15","1,986,488.82",6.9762,0.35,1.5,"11,415.00","32,411.00"
